is_primary_school,is_middle_school,distance_to_subway_station,distance_to_bus_station,distance_to_parking_lot,distance_to_coach_station
0,1,16.37,0.17,0.17,15.27
1,0,16.53,0.17,0.08,15.35
1,0,16.79,0.17,0.08,15.02
1,0,16.28,0.17,0.08,10.55
0,1,16.53,0.08,0.51,9.62
0,1,15.78,0.17,0.08,14.76
1,0,15.78,0.08,0.08,14.76
0,1,15.44,0.17,0.08,13.92
1,0,15.44,0.00,0.08,14.17
0,1,15.35,0.17,0.25,12.74
1,0,72.80,0.08,1.52,5.65
1,0,14.93,0.25,0.08,14.09
1,0,15.02,0.17,0.08,14.09
1,0,15.02,0.08,0.67,12.06
1,0,13.24,0.17,2.87,2.78
0,1,5.74,0.17,0.42,5.57
0,1,14.17,0.17,0.76,11.14
1,0,17.38,0.25,2.11,4.64
1,0,14.34,0.08,2.11,8.27
0,1,14.43,0.25,2.28,8.44
1,0,14.09,0.08,0.76,11.05
0,1,12.91,0.17,0.17,9.95
1,0,12.74,0.08,0.17,9.95
1,0,2.78,0.25,0.67,3.96
0,1,13.58,0.08,2.11,9.95
1,0,15.69,0.67,0.34,2.78
1,0,10.63,0.51,1.77,1.35
0,1,10.88,0.42,0.08,0.34
1,0,10.63,0.00,0.34,0.67
1,0,72.21,0.08,1.86,5.74
0,1,2.36,0.42,0.59,2.95
1,0,11.64,0.08,1.35,9.87
1,0,5.99,0.08,0.93,9.28
1,0,9.11,0.17,1.35,1.94
0,1,6.24,0.42,0.25,8.60
1,0,5.57,0.08,0.34,8.77
1,0,2.53,0.25,0.42,5.74
1,0,0.42,0.17,1.01,2.87
1,0,30.79,0.08,0.51,7.42
1,0,11.30,0.17,1.86,7.00
0,1,12.74,0.17,2.87,0.67
1,0,13.50,0.25,2.45,0.17
1,0,9.53,0.08,1.94,5.65
0,1,8.86,0.17,1.52,5.99
1,0,5.74,0.34,0.34,8.60
0,1,5.48,0.25,0.08,8.52
0,1,4.72,0.25,0.17,7.76
0,1,2.78,0.17,0.51,5.82
1,0,1.27,0.25,1.10,2.28
1,0,80.56,0.25,1.52,4.89
1,0,10.29,0.08,0.17,4.56
1,0,8.94,0.59,1.52,5.65
1,0,3.12,0.59,0.76,5.82
1,0,1.86,0.34,0.34,3.63
1,0,1.18,0.34,0.34,3.04
0,1,1.35,0.34,0.25,1.18
1,0,32.14,0.25,0.25,0.76
0,1,31.38,0.08,0.08,0.84
0,1,31.21,0.17,0.17,0.76
0,1,31.30,0.17,0.08,0.84
1,0,31.64,0.25,0.17,0.42
0,1,9.62,0.59,1.43,6.07
1,0,8.18,0.00,0.76,10.63
0,1,7.76,0.34,0.34,11.14
0,1,15.94,0.08,0.93,3.12
1,0,15.69,0.25,0.84,2.95
0,1,80.48,0.08,0.93,4.39
1,0,80.48,0.00,0.93,4.39
1,0,1.94,0.34,0.34,2.19
1,0,31.47,0.17,0.17,1.35
0,1,31.64,0.25,0.08,1.69
0,1,31.13,0.08,0.08,1.27
1,0,30.79,0.17,0.08,1.35
1,0,31.47,0.17,0.08,0.76
1,0,30.79,0.17,0.08,1.27
1,0,0.67,0.17,0.08,1.27
0,1,28.94,0.08,1.69,5.82
1,0,28.85,0.08,1.69,5.99
1,0,7.68,0.17,2.45,6.07
0,1,7.85,0.08,2.28,6.16
0,1,7.42,0.25,3.12,5.91
0,1,7.76,0.25,0.25,11.22
1,0,7.09,0.34,0.34,10.46
0,1,31.30,0.34,0.25,2.45
1,0,30.62,0.17,0.51,2.87
0,1,30.37,0.17,0.17,1.77
0,1,30.37,0.08,0.08,1.77
0,1,30.12,0.08,0.08,1.94
0,1,30.12,0.08,0.08,1.94
1,0,1.35,0.08,0.08,2.45
1,0,0.25,0.17,0.08,0.17
0,1,0.25,0.17,0.17,0.34
1,0,8.69,0.08,1.10,4.22
1,0,7.09,0.17,3.21,5.74
1,0,7.17,0.08,3.21,5.82
0,1,6.50,0.34,0.08,10.21
1,0,6.41,0.34,0.17,10.80
1,0,6.66,0.51,0.51,7.25
0,1,7.25,0.25,0.08,6.50
1,0,6.50,0.17,1.69,5.99
1,0,5.48,0.17,2.36,5.74
1,0,68.42,0.08,0.25,3.88
1,0,75.50,0.59,0.93,2.62
1,0,13.24,0.17,2.78,1.27
1,0,3.88,0.42,1.94,4.30
1,0,5.65,0.25,1.52,5.23
1,0,7.34,0.08,1.10,5.99
0,1,75.59,0.08,1.35,3.04
1,0,84.44,0.17,1.27,0.08
1,0,7.85,0.17,1.94,6.92
0,1,5.48,0.25,0.51,6.58
0,1,30.20,0.25,1.43,4.13
1,0,29.10,0.17,0.93,4.13
1,0,28.34,0.42,0.34,3.46
1,0,4.64,0.08,0.25,9.45
1,0,6.16,0.34,4.30,2.02
0,1,4.89,1.10,2.19,4.13
1,0,4.47,0.84,2.02,4.47
1,0,2.87,0.08,3.04,4.13
1,0,68.16,0.00,1.35,2.45
0,1,68.75,0.17,1.52,2.78
1,0,70.95,0.17,0.17,4.47
1,0,13.50,1.52,1.94,2.19
0,1,10.63,0.25,2.53,2.19
0,1,6.07,0.34,0.08,6.92
0,1,6.07,0.34,0.08,6.92
1,0,3.29,0.42,0.42,4.05
0,1,7.93,0.34,0.08,4.30
1,0,7.25,0.25,0.00,3.21
1,0,7.59,0.25,0.17,3.46
1,0,4.81,0.08,1.01,1.94
0,1,3.96,0.17,0.25,3.63
1,0,3.88,0.17,1.86,5.99
0,1,3.96,0.17,0.08,8.18
0,1,4.13,0.42,0.08,8.77
0,1,9.79,0.08,2.78,2.53
1,0,3.88,1.27,1.43,6.58
1,0,75.25,0.42,2.36,2.19
1,0,10.21,0.08,2.53,2.36
1,0,7.42,0.08,0.93,8.44
1,0,28.94,0.17,2.19,5.99
1,0,27.67,0.17,1.86,5.82
1,0,27.75,0.42,1.52,5.31
1,0,2.45,0.42,0.59,4.64
0,1,1.35,0.17,0.08,3.71
1,0,3.54,0.17,0.08,9.53
1,0,3.54,0.59,1.27,9.03
1,0,4.64,0.67,1.94,7.59
1,0,4.05,0.17,3.63,3.63
0,1,66.05,0.17,0.34,0.84
1,0,66.90,0.34,0.08,0.34
